Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Moussa Diabaté,22.0,LAC,C,11.0,0.9,1.7,0.526,0.0,0.0,0.0,0.526,0.643,1.4,0.8,2.2,0.4,0.5,0.1,0.2,2.6
Otto Porter Jr.,30.0,TOR,SF,15.0,0.9,2.2,0.424,0.5,1.5,0.348,0.6,1.0,0.4,1.5,1.9,0.5,0.3,0.3,0.1,2.6
Alex Fudge,20.0,2TM,SF,6.0,1.0,2.5,0.4,0.2,0.8,0.2,0.5,1.0,0.7,0.2,0.8,0.0,0.5,0.0,0.3,2.5
Alex Fudge,20.0,LAL,SF,4.0,0.3,1.5,0.167,0.0,0.5,0.0,0.25,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,1.0
Alex Fudge,20.0,DAL,SF,2.0,2.5,4.5,0.556,0.5,1.5,0.333,0.667,0.0,1.0,0.5,1.5,0.0,1.5,0.0,0.5,5.5
Dylan Windler,27.0,3TM,SF,17.0,0.9,1.8,0.5,0.8,1.6,0.481,0.667,0.0,0.2,0.8,0.9,0.6,0.1,0.0,0.1,2.5
Dylan Windler,27.0,NYK,SF,3.0,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0
Dylan Windler,27.0,LAL,SF,8.0,0.5,1.1,0.444,0.5,1.0,0.5,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.0,0.0,1.5
Dylan Windler,27.0,ATL,SF,6.0,1.7,3.2,0.526,1.3,2.8,0.471,1.0,0.0,0.5,1.5,2.0,0.5,0.3,0.0,0.3,4.7
Greg Brown III,22.0,DAL,PF,6.0,0.8,1.8,0.455,0.2,0.5,0.333,0.5,0.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,2.5
Furkan Korkmaz,26.0,PHI,SG,35.0,0.9,2.2,0.395,0.4,1.1,0.35,0.444,0.7,0.1,0.7,0.9,0.7,0.4,0.1,0.3,2.5
Alex Len,30.0,SAC,C,48.0,1.0,1.7,0.617,0.0,0.1,0.0,0.641,0.588,1.0,1.7,2.7,1.0,0.2,0.7,0.6,2.5
Markieff Morris,34.0,DAL,PF,26.0,0.9,2.6,0.338,0.6,1.6,0.357,0.308,0.833,0.2,1.3,1.5,0.6,0.2,0.1,0.5,2.5
Harry Giles,25.0,2TM,C,23.0,1.0,2.2,0.46,0.1,0.6,0.214,0.556,0.538,0.5,0.8,1.3,0.3,0.1,0.1,0.3,2.4
Harry Giles,25.0,BRK,C,16.0,1.4,2.8,0.5,0.2,0.7,0.273,0.576,0.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,3.4
Harry Giles,25.0,LAL,C,7.0,0.1,0.9,0.167,0.0,0.4,0.0,0.333,0.0,0.0,0.6,0.6,0.0,0.1,0.0,0.0,0.3
AJ Griffin,20.0,ATL,SF,20.0,0.9,3.1,0.29,0.5,2.0,0.256,0.348,1.0,0.1,0.8,0.9,0.3,0.1,0.1,0.4,2.4
Mouhamadou Gueye,25.0,TOR,PF,11.0,1.0,3.5,0.289,0.0,0.3,0.0,0.314,0.444,1.1,1.0,2.1,0.5,0.3,1.6,1.1,2.4
Joe Harris,32.0,DET,SG,16.0,0.9,2.4,0.359,0.6,1.9,0.333,0.444,0.5,0.2,0.6,0.8,0.6,0.2,0.1,0.3,2.4
Cory Joseph,32.0,GSW,PG,26.0,0.9,2.5,0.359,0.5,1.6,0.31,0.455,0.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,2.4
Xavier Moon,29.0,LAC,SG,14.0,1.1,3.3,0.326,0.1,1.2,0.118,0.448,0.5,0.6,0.7,1.3,1.5,0.2,0.2,0.4,2.4
Jamaree Bouyea,24.0,2TM,PG,9.0,1.1,3.1,0.357,0.1,1.0,0.111,0.474,0.0,0.3,1.8,2.1,1.2,0.1,0.0,1.0,2.3
